entries,exits,record_datetime,sensor_id,sensor_name
0,0,2023-01-01 23:59:00,5,sensor_5
2,2,2023-01-02 23:59:00,5,sensor_5
3,3,2023-01-03 23:59:00,5,sensor_5
1,1,2023-01-04 23:59:00,5,sensor_5
1,1,2023-01-05 23:59:00,5,sensor_5
1,1,2023-01-06 23:59:00,5,sensor_5
3,3,2023-01-07 23:59:00,5,sensor_5
5,5,2023-01-08 23:59:00,5,sensor_5
1,1,2023-01-09 23:59:00,5,sensor_5
0,0,2023-01-10 23:59:00,5,sensor_5
2,2,2023-01-11 23:59:00,5,sensor_5
1,1,2023-01-12 23:59:00,5,sensor_5
4,3,2023-01-13 23:59:00,5,sensor_5
2,2,2023-01-14 23:59:00,5,sensor_5
1,1,2023-01-15 23:59:00,5,sensor_5
6,6,2023-01-16 23:59:00,5,sensor_5
0,0,2023-01-17 23:59:00,5,sensor_5
3,3,2023-01-18 23:59:00,5,sensor_5
2,2,2023-01-19 23:59:00,5,sensor_5
2,2,2023-01-20 23:59:00,5,sensor_5
1,1,2023-01-21 23:59:00,5,sensor_5
12,12,2023-01-22 23:59:00,5,sensor_5
2,2,2023-01-23 23:59:00,5,sensor_5
2,2,2023-01-24 23:59:00,5,sensor_5
0,0,2023-01-25 23:59:00,5,sensor_5
0,0,2023-01-26 23:59:00,5,sensor_5
0,0,2023-01-27 23:59:00,5,sensor_5
0,0,2023-01-28 23:59:00,5,sensor_5
0,0,2023-01-29 23:59:00,5,sensor_5
1,1,2023-01-30 23:59:00,5,sensor_5
1,1,2023-01-31 23:59:00,5,sensor_5
1,1,2023-02-01 23:59:00,5,sensor_5
0,0,2023-02-02 23:59:00,5,sensor_5
0,0,2023-02-03 23:59:00,5,sensor_5
0,0,2023-02-04 23:59:00,5,sensor_5
0,0,2023-02-05 23:59:00,5,sensor_5
2,2,2023-02-06 23:59:00,5,sensor_5
0,0,2023-02-07 23:59:00,5,sensor_5
0,0,2023-02-08 23:59:00,5,sensor_5
0,0,2023-02-09 23:59:00,5,sensor_5
0,0,2023-02-10 23:59:00,5,sensor_5
0,0,2023-02-11 23:59:00,5,sensor_5
0,0,2023-02-12 23:59:00,5,sensor_5
2,2,2023-02-13 23:59:00,5,sensor_5
3,2,2023-02-14 23:59:00,5,sensor_5
0,0,2023-02-15 23:59:00,5,sensor_5
9,8,2023-02-16 23:59:00,5,sensor_5
2,2,2023-02-17 23:59:00,5,sensor_5
31,31,2023-02-18 23:59:00,5,sensor_5
0,0,2023-02-19 23:59:00,5,sensor_5
0,0,2023-02-20 23:59:00,5,sensor_5
4,6,2023-02-21 23:59:00,5,sensor_5
2,2,2023-02-22 23:59:00,5,sensor_5
0,0,2023-02-23 23:59:00,5,sensor_5
0,0,2023-02-24 23:59:00,5,sensor_5
